,OBJECTID_1,X,Y,Cluster
0,69,-79.0605000000905,35.9194800004368,First
1,166,-79.02860000010091,35.929060000272706,Second
2,171,-79.0692000002125,35.8861699999418,No Cluster
3,238,-79.0498000004817,35.9165200000133,First
4,265,-79.0556000003741,35.9351099999557,No Cluster
5,460,-79.0556999994862,35.9130600001824,First
6,655,-79.0023999995221,35.9487399997648,No Cluster
7,661,-79.0482000002983,35.9086300000833,First
8,712,-79.0539999997642,35.9251399998342,No Cluster
9,743,-79.0246000000621,35.9303300001923,Second
10,792,-79.0441999998044,35.9036600000484,First
11,811,-79.0302999997434,35.9277700000694,Second
12,1018,-79.05449999966291,35.9107599998851,First
13,1098,-79.0417999997223,35.9110299997181,First
14,1188,-79.0508000005155,35.963890000314606,Third
15,1593,-79.0500000005071,35.90875999993371,First
16,1620,-79.0549000003185,35.9114900001796,First
17,1677,-79.0402000005414,35.9006499996961,First
18,1754,-79.04630000046129,35.903639999991896,First
19,2096,-79.0465000003539,35.903639999643005,First
20,2350,-79.05630000005169,35.9141400000935,First
21,2365,-79.0213999996058,35.9376099996164,Second
22,2385,-79.0444000002005,35.9035499997451,First
23,2387,-79.03980000036891,35.9005000002697,First
24,2399,-79.0545999996047,35.9624299998094,Third
25,2503,-79.04869999952679,35.9029699996886,First
26,2528,-79.05839999999341,35.9080699999044,First
27,2581,-79.0240000005425,35.9081799997783,No Cluster
28,2653,-79.05629999978059,35.9639799997055,Third
29,2654,-79.0501999996056,35.8949399997365,No Cluster
30,2790,-79.0552999998808,35.9622700004485,Third
31,2799,-79.0389000000576,35.90039000040729,First
32,2922,-79.06110000024908,35.92860000027721,No Cluster
33,2941,-79.0526000004833,35.9036000001395,First
34,2962,-79.0444999998676,35.90113000013721,First
35,3256,-79.05450000050101,35.904390000182296,First
36,3341,-79.0542000000684,35.925019999776296,No Cluster
37,3445,-79.05630000043,35.96400000011729,Third
38,3510,-79.0593999995633,35.968360000241496,Third
39,3928,-79.0571000001865,35.915150000077794,First
40,4208,-79.0700000001224,35.8986299996627,No Cluster
41,4566,-79.0571000003023,35.9019600004183,First
42,4654,-79.04430000047759,35.9017800000911,First
43,4759,-79.0610000002271,35.8944199999023,No Cluster
44,4874,-79.0247999999696,35.92527000043871,Second
45,4894,-79.0119999996807,35.9425200000155,No Cluster
46,4953,-79.0245000002971,35.93620000022521,Second
47,4965,-79.0242999995911,35.9066800004319,No Cluster
48,4967,-79.04420000040041,35.903570000219496,First
49,4988,-79.0580999997168,35.912139999808204,First
50,5037,-79.0552999994837,35.9099600003235,First
51,5136,-79.007500000547,35.9441200001076,No Cluster
52,5342,-79.03140000046851,35.9330300003822,Second
53,5343,-79.0497999996667,35.9165599997486,First
54,5388,-79.054399999739,35.9108200000751,First
55,5514,-79.0117000005004,35.9452300003178,No Cluster
56,5538,-79.03579999950159,35.8988600001845,First
57,5636,-79.0489999995297,35.9090299998921,First
58,5682,-79.05649999980459,35.908660000076296,First
59,5813,-79.0712000004231,35.8853599997351,No Cluster
60,6006,-79.0530000002481,35.914339999603705,First
61,6117,-79.01540000007,35.9370699998216,No Cluster
62,6372,-79.02179999957579,35.9350300003396,Second
63,6558,-79.054700000407,35.9081100002601,First
64,6706,-79.06430000047271,35.9116700002559,First
65,7051,-79.06029999965071,35.9113000000491,First
66,7074,-79.0221999998469,35.9371100000712,Second
67,7441,-79.0092479999455,35.9471720003318,No Cluster
68,7462,-79.02586199982109,35.9356119996204,Second
69,7491,-79.052673000063,35.9043659995655,First
70,7514,-79.0514550004202,35.922651999580296,No Cluster
71,7577,-79.04659499965541,35.9046759999913,First
72,8177,-79.0563940000643,35.9145580002389,First
73,8394,-79.0559539995769,35.9131270003399,First
74,8553,-79.05576100040791,35.913989999673,First
75,8557,-79.0254459995608,35.9283530003871,Second
76,8650,-79.0612270000338,35.9506799998182,No Cluster
77,8839,-79.0388170004674,35.9220219996792,No Cluster
78,8954,-79.0593250003037,35.8975299996973,No Cluster
79,9027,-79.05631599968041,35.9141330004117,First
80,9182,-79.0332299996959,35.9284109996996,Second
81,9227,-79.0527990003135,35.9142659997392,First
82,9256,-79.0464949995683,35.903661000156795,First
83,9390,-79.0649860004745,35.91574899975121,First
84,9657,-79.0115289999907,35.9451019998944,No Cluster
85,9823,-79.0626669999334,35.9115459995822,First
86,9912,-79.056389999717,35.9141970001222,First
87,10042,-79.024428000224,35.930286999646704,Second
88,10077,-79.02812599970801,35.9270149999336,Second
89,10126,-79.0269750002509,35.92922599972621,Second
90,10231,-79.0239460002508,35.9081090002809,No Cluster
91,10543,-79.0564800004416,35.91287400044929,First
92,10575,-79.05122200040391,35.9160130001216,First
93,11077,-79.0342369996132,35.9294389999825,Second
94,11210,-79.04984100028159,35.9165569997037,First
95,11373,-79.0561939996225,35.914085000144894,First
96,11396,-79.056497000411,35.9127310000844,First
97,11458,-79.0463009995189,35.9036299996318,First
98,11518,-79.0531210001097,35.908670999615296,First
99,11743,-79.0467099995922,35.9037380003585,First
100,11998,-79.0430719995622,35.9639689996628,No Cluster
101,12157,-79.05730299998879,35.9156149998503,First
102,12351,-79.0125629994695,35.9446669995784,No Cluster
103,12446,-79.04678100046421,35.9045980001981,First
104,12461,-79.0258089996178,35.9303739996582,Second
105,12518,-79.0443899999743,35.9035419997936,First
106,12703,-79.0576169995377,35.91352900030989,First
107,12831,-79.053882999839,35.927518000171794,No Cluster
108,12898,-79.04875399992271,35.909185999581794,First
109,12919,-79.06327200006591,35.9101790003621,First
110,13019,-79.0507789997878,35.912052999615,First
111,13208,-79.0463000003451,35.903634000003294,First
112,13296,-79.0248540001335,35.9364670001517,Second
113,13550,-79.05651499971229,35.912892000374,First
114,13571,-79.0580410002223,35.94436199986679,No Cluster
115,13767,-79.06594099953541,35.9051669997169,No Cluster
116,13818,-79.04400300006971,35.9008829999201,First
117,13867,-79.0552350003319,35.9148250001585,First
118,14089,-79.0512930003967,35.9026520002892,First
119,14311,-79.0596350000443,35.9128229998533,First
120,14406,-79.0580979998449,35.9448890002573,No Cluster
121,14657,-79.06328000007541,35.9102240000799,First
122,14659,-79.0598930000307,35.9152799997649,First
123,14673,-79.04929800054859,35.915563999998795,First
124,14763,-79.0546540004153,35.9080580003242,First
125,14794,-79.05413300014399,35.9249849996598,No Cluster
126,14803,-79.0195750005193,35.9407169996996,Second
127,14869,-79.0527809998819,35.9142669998594,First
128,14897,-79.0597889998123,35.96394199956129,Third
129,15148,-79.0641909997552,35.9099409999559,First
130,15306,-79.0526160003886,35.903841000444004,First
131,15452,-79.0583689996648,35.964281999608396,Third
132,15489,-79.0554749999482,35.9133360002522,First
133,15544,-79.04736099946959,35.912303000162204,First
134,15588,-79.0558440002134,35.9131989998714,First
135,15973,-79.057623999964,35.9135140002409,First
136,16058,-79.05559799979241,35.91313099990329,First
137,17062,-79.0499929996186,35.9040189998311,First
138,17142,-79.0539030001698,35.9243949998827,No Cluster
139,17296,-79.0294869996315,35.9350790002426,Second
140,17336,-79.04887000028741,35.9041230003278,First
141,17602,-79.05668200025548,35.912821000348,First
142,17613,-79.02954699962109,35.935585999966705,Second
143,17622,-79.05421299996429,35.9249830002211,No Cluster
144,17681,-79.05387099997029,35.910133000274,First
145,18091,-79.04664500049479,35.9101770002101,First
146,18166,-79.02157700025691,35.946768999847706,No Cluster
147,18200,-79.0248140004069,35.9252139999523,Second
148,18400,-79.0507790005065,35.9120699999809,First
149,18783,-79.0408069997617,35.911149000452205,First
150,18789,-79.05629299969141,35.913995000090296,First
